鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
林口區,車位,林口路61~90號,4.61,都市：其他:第二種住宅區,,,1100328,土地1建物1車位1,一層,十層,其他,一般零售場所,鋼筋混凝土造,1050831,30.54,0,0,0,有,有,1000000,,坡道平面,30.43,1000000,僅車位交易；,RPQQMLRLMHGGFBF28DA,0.0,0.0,0.0,有,0024
五股區,房地(土地+建物),五福路91~120號,9.24,都市：其他:住宅區,,,1100426,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811231,53.9,3,2,2,有,有,2300000,42664,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPWPMLTLMHGGFBF98DA,32.61,0.0,5.3,有,
五股區,房地(土地+建物),中興路一段91~120號,145.0,都市：其他:乙種工業區,,,1100318,土地1建物1車位0,全,五層,透天厝,辦公室，單身宿舍，廠房，其他,鋼筋混凝土造,0760410,572.49,12,5,5,有,無,57000000,99565,,0.0,0,陽台外推；頂樓加蓋；,RPTPMLNJNHGGFBF97DA,500.76,37.54,34.2,有,
五股區,房地(土地+建物)+車位,新城一路61~90號,25.68,都市：其他:河川區,,,1100414,土地2建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,0980824,124.21000000000001,3,2,2,有,有,9200000,70958,坡道機械,5.83,800000,,RPXRMLOJNHGGFBF68DA,67.17,3.97,9.64,有,
五股區,房地(土地+建物)+車位,凌雲路一段158巷57弄1~30號,32.22,都市：其他:住宅區,,,1100311,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091118,140.9,3,2,2,有,有,10880000,77223,坡道平面,0.0,1350000,,RPUTMLOJNHGGFBF58DA,63.05,8.35,6.76,有,
林口區,房地(土地+建物)+車位,文化三路一段391~420號,31.47,都市：其他:第五種住宅區,,,1100419,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960420,157.17000000000002,4,2,2,有,有,14580000,92766,升降機械,0.0,0,其他增建；,RPUVMLOJNHGGFBF78DA,97.71,0.0,4.83,有,
新莊區,房地(土地+建物)+車位,中正路901~930號,24.69,都市：其他:道路用地,,,1100328,土地2建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061120,207.31,4,2,2,有,有,22000000,106121,升降平面,0.0,0,,RPXWMLPJNHGGFBF66DA,100.88,6.1,11.31,有,
新莊區,房地(土地+建物),建中街1~30號,6.93,都市：其他:住宅區,,,1100411,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0980921,49.92,1,1,1,有,有,6800000,136218,,0.0,0,,RPONNLPJNHGGFBF57DA,30.21,1.2,2.66,有,
新莊區,房地(土地+建物),民安路188巷1弄1~30號,17.06,都市：其他:商業區,,,1100414,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741028,75.93,3,2,2,有,無,6000000,79020,,0.0,0,陽台外推；,RPQONLPJNHGGFBF87DA,61.1,0.0,14.83,無,
新莊區,房地(土地+建物),萬安街1~30號,4.97,都市：其他:住宅區,,,1100421,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970418,43.0,1,1,1,有,有,5200000,120930,,0.0,0,,RPTNMLQJNHGGFBF08DA,27.34,0.0,0.0,有,
新莊區,房地(土地+建物),萬壽路一段21巷17弄1~30號,23.43,都市：其他:住宅區,,,1100319,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690403,90.03,3,2,2,有,無,5000000,55537,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLQJNHGGFBF08DA,90.03,0.0,0.0,無,
新莊區,房地(土地+建物)+車位,中原東路181~210號,24.07,都市：其他:商業區,,,1100412,土地1建物1車位2,十八層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1011214,300.39,4,2,2,有,有,32000000,106528,坡道平面,79.92,0,含陸臺冷氣,RPVPMLQJNHGGFBF48DA,127.96,15.97,7.67,有,0025
