鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,total_floor
三民區,房地(土地+建物)+車位,民族一路543巷1~30號,14.53,都市：其他:第三種住宅區。,,,1091128,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851210,130.35999999999999,3,2,2,有,有,7530000,57763,坡道平面,0.0,0,,RPTPMLSKKIPFFDE66DA,60.56,9.29,0.0,有,1072.0,14
左營區,房地(土地+建物),榮德街1~30號,11.83,都市：其他:第五種住宅區,,,1091206,土地1建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0900409,159.7,4,2,2,有,有,8350000,52286,,0.0,0,,RPSPMLQJKIPFFEE98DA,98.17,18.32,0.0,有,1073.0,22
左營區,房地(土地+建物),榮德街421~450號,8.0,都市：其他:第五種住宅區,,,1091111,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960808,78.86,2,1,1,有,有,4350000,55161,,0.0,0,陽台外推客廳陽台外推；,RPWOMLLKKIPFFEE88DA,47.54,10.02,0.0,有,,14
左營區,房地(土地+建物)+車位,保靖街1~30號,13.61,都市：其他:第三種商業區,,,1091122,土地1建物1車位1,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831210,173.2,3,2,2,有,有,9300000,53695,坡道平面,0.0,0,,RPUVMLQKKIPFFEE27DA,93.39,12.75,0.0,有,,21
左營區,房地(土地+建物),明華一路211~240號,4.02,都市：其他:第四種商業區,,,1091123,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,41.15,1,1,1,有,有,2438000,59247,,0.0,0,,RPTQMLNLJIPFFEE98DA,27.14,3.29,0.0,有,,16
岡山區,房地(土地+建物),壽華路31~60號,15.93,都市：其他:住宅區,,,1091221,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830522,121.33,3,2,2,有,有,3600000,29671,,0.0,0,,RPROMLLLKIPFFFE58DA,79.36,12.55,0.0,有,,13
左營區,房地(土地+建物)+車位,城峰路1~30號,19.81,都市：其他:第五種住宅區,,,1090919,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,183.63,3,2,2,有,有,10000000,54457,坡道平面,18.0,0,,RPQRMLSLKIPFFEE76DA,101.96,12.96,0.0,有,,15
楠梓區,房地(土地+建物),楠梓新路241~270號,10.56,都市：其他:第四種住宅區,,,1091213,土地1建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830628,113.56,3,2,2,有,有,3580000,31525,,0.0,0,,RPVSMLRKKIPFFEE17DA,92.1,11.37,0.0,有,1077.0,19
大社區,房地(土地+建物),翠屏路84巷61~90號,17.77,都市：其他:住宅區(住二),,,1091205,土地1建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830128,107.5,3,2,2,有,有,3150000,29302,,0.0,0,,RPWNMLLLKIPFFIE66DA,74.78,9.82,0.0,有,1082.0,19
楠梓區,房地(土地+建物)+車位,土庫三路251巷1~30號,14.22,都市：其他:第三種住宅區。,,,1091213,土地2建物1車位1,九層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010817,129.34,2,2,1,有,有,5780000,44688,坡道平面,25.64,0,,RPTOMLRJJHGGFEE18EA,57.83,9.58,0.0,有,1093.0,17
左營區,房地(土地+建物)+車位,文自路871~900號,14.1,都市：其他:第五種住宅區,,,1091122,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890824,183.08,4,2,2,有,有,10200000,55713,坡道平面,15.0,0,,RPVOMLSJJHGGFEE48EA,113.27,16.25,0.0,有,1101.0,20
鳥松區,房地(土地+建物)+車位,大埤路涵碧巷1~30號,104.5,都市：其他:第一種住宅區,,,1091224,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750518,285.3,4,2,2,有,有,14700000,51525,坡道平面,0.0,0,,RPXNMLRJJHGGFIE78DA,54.92,227.7,0.0,有,,14
